id,date,professor_name_raw,department,course_name,grading_status_raw,attendance_status_raw,term,comment_text,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6
1197,2022-08-03T15:36:06,مهرداد آشتیانی,مهندسی کامپیوتر,مبانی کامپیوتر,دست باز و با ارفاق,حضور و غیاب نمی کند,بهمن 1400,"نمی دونم نفر قبلی چی با خودش فکر کرده یا چه انتظاری از این درس داشته😐
اگر بخاطر بیاریم بین 70-80 تا سوال در طول ترم و یک پروژه آخر اون داده بود که نصف سوالات در حد hello world بودن
نمره دهیش از 23 بود ولی با این حال 0.5 به همه شیفت داد تی ای های ما هم نصف نمره ای که دستشون بود رو بصورت پیشفرض به بچه ها دادن و باقی رو به کسایی که لیاقتشو داشتن و میانگین نمرات هم حدود 15.7 بود
نمی دونم کیا به اون بشر افتاده بودن ولی با کلاس ما که کاملا راه میومدن",10.0,9.0,9.0,9.0,10.0,10.0
1198,2022-08-04T00:27:26,رضا پارچه باف,معارف,اخلاق,با کلاس ما لج افتاد سر نمره,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"سعی میکنم بیطرف بنویسم نظرم رو
استاد با شخصیتی هست
به دانشجو احترام میذاره
در کل استاد بدی نیست
ولی یه چند تا نکته
کلا غیبت نکن تو کلاسش زیادی حساسه
نمی‌دونم چرا دروس اختصاصی ما یه ساعت بود ولی کلاس ایشون حداقل یک ساعت و نیم🧐
با هاش لج نکنین لطفا سر این درس
این تیپ صحبت ها برای من و بچه هایی که با من بودن سر کلاسش قدیمی شده بود برا همین بهش خیلی محل نمیدادیم
ولی اون یکی کلاس نمرات خوبی گرفته بودن بچه ها که از چند تاشون پرسیدم
ولی کلاس ما ۸ یا ۹ نفر رو انداخت
منم خودم ۱۳ شدم
گند خورد به معدلم
امیدوارم بتونم منظورم رو واضح رسونده باشم",8.0,7.0,7.0,1.0,8.0,8.0
1199,2022-08-31T23:38:54,سعید بهزادی,مهندسی عمران,نقشه برداری,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1400,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0
1200,2022-09-01T11:21:46,محمد امینی فارسانی,معارف,زبان عمومی انگلیسی,دست باز و با ارفاق,یادم نمیاد,بهمن 99,"استاد خیلی خوبی در دانشگاه هستند و من در مجازی داشتم
کلاس ما فعال بود و دانشجویان زیاد مطالب ارائه کردند مثل طراحی پاورپوینت و کوییز انگلیسی و بازی لغات اندروید با اپلیکیشن اپچه و غیره

فعالیت در کلاس خیلی تاثیر مثبت داره 

حداقل یک بار اسپیکینگ اجباری بود که بعضی دانشجویان ارائه‌هاشون رو در این بخش دادند.",10.0,10.0,10.0,10.0,10.0,10.0
1201,2022-09-01T17:44:23,جمال الدین شریعتی,تربیت بدنی,تربیت بدنی,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"10 نمره امتحان پایانی ، 2 نمره حضور غیاب ، 2 نمره ارسال تکالیف ،‌  6 نمره امتحال عملی ،این ۶ نمره خیلی سخت گیرانه به نظر میومد،و خودشون هم همیشه اصرار داشتند بارم بندی دقیقا همینه، ولی در نهایت خیلی خیلی ارفاق کردند،مثلا جمع نمرات با اون بارم ۱۶ به بالا میشد ۲۰ داده بودن همرو
امتحان نهایی هم هماهنگ و مجازی بود ،۲۲ سوال ۳۰ دقیقه
ارائه اختیاری هم میشه داد نمره خوبی داره
کلاس بسیار مرفه و شاد هست و خیلی خوش میگذره و تو کلاس کلی میگن میخندیم،شخصیت بسیار عالی و با اخلاقی هم دارند
کلاس ما ۱۷ نفر بودن ۱۱ نفر ۲۰ شدن، یه نفرم ۱۹.۵ ...
خلاصه بردارید شک نکنید",10.0,10.0,10.0,10.0,10.0,10.0
1202,2022-09-02T09:34:56,سیاوش کاظمی راد,مکانیک,استاتیک,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 1400,"۲۰ نمره کل بین
 ۱-حل تمرین و پروژه و کوییز
۲-میانترم اول
۳-میانترم دوم
به طور تقریبا مساوی تقسیم میشه. TA خوبی دارن که به سوالات جواب میدن و معمولا یه روز در هفته کلاس برگزار میکنن و حضور غیابم میکنه. خودِ استاد خوش برخورده و درس دادنش نسبتا خوبه. چندتا منبع مرجع معرفی میکنه و توی کلاس از جزوه خودش تدریس میکنه. هر هفته تمرین داشتیم.  بنظر میاد نمرات سختگیرانه داده شده (هرچند استاد گفتن ارفاق کردن). توی اون ترم از بین بقیه اساتید بهترین بود.",9.0,10.0,10.0,9.0,10.0,10.0
1203,2022-09-02T09:35:03,زاهدی مقدم,معارف,تاریخ تحلیلی صدر اسلام,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"استاد مهربونی هستن و معمولا با دانشجو کنار میان
یک میانترم و یک پایانترم داشتن و دوره نهاد که میشد نمره خوبی ازشون بگیری
گاهی اوقات سر کلاس میپرسیدن آخرین مطلب جلسه گذشته چی بود ولی خب زیاد روش حساس هم نبود
آخرش هم  ۱ نمره اضاف داد و اکثرا از نمره‌شون راضی بودن
دوره نهاد اضافی نمره مثبت داره
انتخاب معقول و مناسبی هست؛ بزارید واسه اولویت های اولتون",10.0,10.0,10.0,10.0,10.0,10.0
1205,2022-09-03T20:13:05,مهرداد آشتیانی,مهندسی کامپیوتر,مبانی برنامه نویسی کامپیوتر,دست باز و با ارفاق,حضور و غیاب نمی کند,بهمن 1400,"سی‌پلاس‌پلاس تدریس میکنند،فقط تئوری میگن و کم کد نشون میدن،سر کلاس شاید چیزی یاد نگیرید،ولی کلاس حل تمرین(کارگاه) دارن که اگه تی ای هاتون خوب باشن خیلی خوب یاد میگیرید،تمارین زیادی در طول ترم میدن که باید وقت بزارید براشون،اگه وقت بزارید به راحتی خیلی نمره خوبی میگیرید
چندین آیتم نمره اضافی دارند
امتحان پایانترمشون ۵ نمره بود ولی خیلی سخت بود در عوض نیم نمره شیفت دادن،پروژه هم دارند در آخر ترم،بارم و نمرات دانشجوهای ترم قبلی در چنل درس هست
تی ای های من خیلی خوب بودن ولی بعضی ها راضی نبودن از تی ای هاشون
در نهایت اگر وقت میزارید به شدت پیشنهاد میشه",10.0,10.0,8.0,10.0,10.0,10.0
1206,2022-09-05T10:16:28,مریم بحرینی,فیزیک,فیزیک1,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"خداوند به این استاد خیر و برکت عطا کنند
بسیار استاد خوبی هستند
بسیار خوش اخلاق هستند
بسیار خوب درس می دهند
حتما توصیه می کنم با این استاد درس بر دارید",10.0,10.0,10.0,10.0,10.0,10.0
1207,2022-09-06T10:42:12,جواد غفاری,معارف,دانش خانواده - اخلاق اسلامی,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,سر کلاساش حاضر باشین و پاچه خواریشو بکنین نمره خوب میگیرین,8.0,6.0,6.0,9.0,8.0,5.0
1208,2022-09-06T21:53:34,خبیر دشتیان,مهندسی شیمی,۱-شیمی تجزیه۲-آزمایشگاه شیمی تجزیه,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,رو حضور توی کلاس به شدت حساس هستن. همه تاخیر ها را ثبت میکنه و راحت دانشجوها رو حذف میکنه.با دانشجو اصلا راه نمیاد... جزوه اصلا قابل مطالعه نیست(به شدت بهم ریخته و پراکنده موضوع ها) و اخر هم نمره خوبی رو به دانشجو نمیده,3.0,3.0,1.0,2.0,1.0,1.0
1209,2022-09-07T16:20:23,کامران دانشجو,مکانیک,مقاومت مصالح ۲,,,,,,,,,,
1210,2022-09-08T20:52:07,سید مصطفی سیادت موسوی,مهندسی عمران,1-روش عددی 2 هیدرولیک پیشرفته 3- مهندسی رسوب,دست باز و با ارفاق,حضور و غیاب نمی کند,مهر 99,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0
1211,2022-09-08T20:52:18,رضا سعادتی,ریاضی,ریاضی 1,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,مهر 1400,سوالات امتحان معمولی بود ، میشه نمره خوبی از ایشون گرفت,9.0,10.0,10.0,10.0,9.0,10.0
1212,2022-09-08T21:16:44,افشین شریعت مهیمنی,مهندسی عمران,1-برنامه ریزی در حمل و نقل 2- حمل و تقل همگانی,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر 1400,استاد سخت گیری هستند اما آینده خوبی در انتظار افرادی هست که بتونن خودشون رو با ایشان هماهنگ کنند,8.0,10.0,10.0,7.0,8.0,10.0
1213,2022-09-08T23:53:14,علی قاسمیان مقدم,مهندسی خودرو,موتور احتراق داخلی پیشرفته,دست باز و با ارفاق,حضور مهم نیست اما تاثیر مثبت دارد,مهر 1400,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0
1215,2022-09-09T15:44:12,وحید صفری فرد,شیمی,شیمی سوپراملکول,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1401,در بیان مطالب تسلط کافی دارند و معمولا به سوالاتی که سرکلاس مطرح میشه، پاسخگو هستن.اگر هم جواب سوالی رو ندونن یا در رابطه باهاش مطالعه میکنن و جلسه بعد جواب رو بیان میکنند یا مرجعی معرفی میکنن تا جواب سوال رو بشه پیدا کرد.تو نمره دادن بشدت دقیق هستن، جوری که شما از نمره ای که انتظارشو دارید ۱تا۱/۵نمره کمتر میگیرید. اینطور بگم که خیلی سخت برگه هارو تصحیح میکنن.آدم وقت شناسی هم هستن.,10.0,9.0,9.0,10.0,9.0,10.0
1216,2022-09-09T20:20:21,سیدمرتضی موسوی خوشدل,شیمی,شیمی نظری نانوساختارها,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,مهر 1400,"راجع به ایشون باید بگم که، تکالیف زیادی از بچه ها میخوان و تاکید دارن که تو کلاس حضور داشته باشن، اما حضور غیاب نمیکنن.طبق گفته خودشون فعالیتهای کلاسی و تکالیف خیلی تو نمره ای که میدن تاثیرگذار. اما هیچکدوم از حرفایی که راجع به نمره میزنه واقعیت نداره. کلا نمره خوبی نمیده. ازون کسایی که خیلی راحت حقتو پایمال میکنه. "" حق الناس کردن رو خیلی خوب بلده"" جنبه اومدن سرکلاسشم بیشتر تحقیر دانشجو تا تدریس پیوسته مطالب.",7.0,6.0,6.0,5.0,5.0,4.0
1217,2022-09-09T22:47:21,رضا تقوی زنوز,مکانیک,آیرودینامیک مادون صوت - طراحی آیرودینامیک توربوماشین ها,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,مهر و بهمن ۱۴۰۰,مقطع ارشد باهاشون کلاس داشتم . واقعا اهمیت میدن به کلاس و دانشجو ، احترام میذارن و کلا حس خوبی داری اگررررررر وقت بذاری و کار کنی ،,10.0,10.0,10.0,10.0,9.0,10.0
1218,2022-09-09T23:08:21,زینب پورانصاری,مکانیک,سی اف دی ( CFD ) - توربولانس,منصفانه و هرچی خودت بگیری,یادم نمیاد,مهر و بهمن ۱۴۰۰,سی اف دی خوب درس میدن ، اما توربولانس چون یکم سختره شاید اوایل ترم واقعا کلافه بشی ، تقریبا هیچی ممکن نفهمی اما .... یه دیتا میدن که باهاش باید کار کنید توی متلب ، اگر وقت گذاشتی روی اون دیتا DNS و تکلیف هارو انجام دادی ، قول میدم توربولانس از هرکسی بهتر فهمیدی,9.0,9.0,6.0,9.0,8.0,9.0
1219,2022-09-09T23:17:12,مهدی بیدآبادی,مکانیک,سوخت و احتراق,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 1401,"قسمت اصلی نمرات مربوط میشه به تمرین هایی که میگه تحویل بدیم، تمریناش هم با سرچ پیدا میشه ،البته یه مقدار سطح تمریناش بالاست و اگر جواب دقیق بخوای بهش تحویل بدی باید در حد پروژه کارشناسی کار کنی!
ولی زیاد واسش مهم نیست،همین که یچیزی تحویلش بدیم براش کافیه
حضوری غیاب هم میکنه و تاثیر مثبت داره
امتحانش هم سیاه کنی کافیه،مهم نیست چی مینویسی،همونطور که گفتم تمرینا واسش مهمه
کوییز هم میگیره بعضی وقتا ولی میشه مشورتی نوشت و راحت هستن",9.0,8.0,7.0,7.0,6.0,7.0
1220,2022-09-10T00:17:10,رحیمی پور,برق,آز مبانی برق,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1401,"سه چهار جلسه حضوری داشتم باهاش که تو این چندجلسه حضوری رفتیم آزمایش ها رو انجام دادیم و داده ها رو ثبت کردیم و براش گزارش نوشتیم
امتحانشم که به جز بخش تئوری ، عملی بود و باید بستن مدارها رو حفظ میبودیم.
خیلیا میترسونن دانشجوها رو از آز برق ،واسه اینه که خیلی سخت میگیرن
اگر وقت میکنید بخونید راحته و کاری نداره،ولی برا این که راحت باشه باید اندازه ۳ ،۴ واحد وقت بذارید براش",9.0,7.0,7.0,7.0,7.0,7.0
1221,2022-09-10T00:17:30,برهان بیگ زاده,مکانیک,کنترل اتوماتیک,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1401,"کلا کنترل درس سختیه
واسه همین زیاد فرق نمیکنه بیگ زاده برداری یا منتظری ،ولی خب بیگ زاده بهتر درس میده
حضور غیاب بعضی جلسات میکنه که تاثیر مثبت داره،کوییز هم تعداد کمی میگیره اما همه اینها زیاد تأثیری نداره
۱۶نمره میانترم و پایانترم داره که باید خیلی سخت براش بخونی تا بتونی نمره خوب بگیری
ترمی که من داشتم سوالای سختی داد ولی خوب تصحیح کرد و نمره خوبی داد.",9.0,9.0,9.0,8.0,9.0,7.0
1222,2022-09-10T00:50:43,برهان بیگ زاده,مکانیک,کنترل اتوماتیک,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1401,"استاد از نظر تدریس خیلی خوب هستن و مفاهیم رو خوب منتقل میکنن اما برای اینکه به درس مسلط بشید باید خودتون هم وقت بذارید و تمرین کنید. 
2 نمره کوییز داره که بیشتر جنبه حضور غیاب داره و 2 نمره تمارین هست که انتهای هر فصل تمرین میدن.
16 نمره مابقی، 8 نمره میانترم و 8 نمره پایانترم هست.
سطح امتحاناشون کاملا استاندارده و اگر به درسی که دادن مسلط باشید میشه نمره خیلی خوبی ازشون گرفت.
کار اضافی و حمالی و پروژه هم برای نمره اضافی گرفتن نمیدن و معیار اصلی همون امتحان هاست در انتها هم شاید حدود یک نمره شیفت بدن.
در هرصورت پیشنهاد میکنم حتما درس رو با این استاد بردارید.",9.0,10.0,9.0,9.0,10.0,10.0
1223,2022-09-10T01:12:50,سهیل گنجه فر,برق,کنترل خطی,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 1400,"درس دادن استاد بسیار عالی و مفهومیست به نحوی که به خوبی مطالب رو به دانشجو انتقال میدن این ترم ایشون بجای میانترم ۳ تا کوییز گرفتند نحوه تصحیح ایشون خیلی با دقت و جدیت بود در آخر به کسایی که نمره هاشون بیشتر بود شیفت بیشتری میدادند(حدود دو نمره)
و کسایی که نمره اصلیشون پایین بود شیفت نمی داد اصلا.
یه پروژه ۳ نمره ای نسبتا ساده هم داشتند که البته خیلی روی اون پروژه حساس بودن .
در کل استاد خوب و منطقی هست توصیه میشه.",10.0,10.0,10.0,8.0,7.0,9.0
1224,2022-09-11T21:29:21,مقیمی,مکانیک,ترمودینامیک ۲,,,,,,,,,,
1225,2022-09-12T13:54:14,زهرا تند پور,مهندسی راه آهن,آمار مهندسی,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1400,"استاد خوبیه و کلاسش هم خشک نیست
واسه امتحان انتظار داره همه فرمولا رو حفظ باشی واین امتحانش رو سخت میکرد
یه تعداد کمی طول ترم تمرین میده
نمره هم آخر سر یکم ارفاق کرد",9.0,8.0,8.0,10.0,9.0,10.0
1226,2022-09-12T13:54:19,موسوی گزافرودی,مهندسی راه آهن,مبانی مهندسی برق,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 1400,چیزی اضافه ایی نیست,8.0,10.0,6.0,10.0,5.0,7.0
1227,2022-09-12T14:01:25,محسنی,معارف,تاریخ فرهنگ و تمدن,منصفانه و هرچی خودت بگیری,یادم نمیاد,بهمن 1400,"استاد گوگلی ایه
سر کلاس بعضی وقتا گوشی کار میکردم یبارم کلا خوابیدم ولی بنده خدا چیزی نگفت
کنار پی دی افی که واسه امتحان میده باید نکات اضافی رو بنویسید
امتحانش تقریبا آسون بود درکل میشه نمره بالا گرقت ازش",10.0,10.0,10.0,10.0,10.0,10.0
1228,2022-09-12T14:06:59,حمید رضا احدی,مهندسی راه آهن,اقتصاد مهندسی_اقتصاد عمومی,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"واسه اقتصاد عمومی که مجازی داشتم خوب نمره داد
واسه اقتصاد مهندسی پایین تر از چیزی که فکر میکردم شدم
خنده های سرکلاسش خیلی باحاله
بعضی وقتا در شان یه استاد رفتار نمیکنه
رو پروژه خیلی حساسه",10.0,10.0,10.0,10.0,8.0,6.0
1229,2022-09-13T00:01:26,جواد غفاری,معارف,دانش خانواده,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,استادی که اگر حاضر باشی و فعال باشی و تکالیف به موقع بفرستی نمره بالایی میگیری,10.0,9.0,9.0,9.0,10.0,9.0
1230,2022-09-13T00:01:57,سپهر صنایع,مکانیک,توربولانس,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,مهر 97,متأسفانه هیچ گونه شور و اشتیاقی در ارائه مطالب درسی به زیبایی توربولانس ندارند، انگار به زور و از سر بیکاری استاد دانشگاه شده‌اند. در این حوزه تخصصی ندارند و اصرار اکید هم دارند که این درس با ایشون ارائه بشه. هر ترم کلاسها به زور و با ۶ ۷ دانشجو (بعضاً دکترا) تشکیل میشه و دو سه تا هم حذف میکنند. درسی که به شدت مفهومی هست و پر از فرمول رو انتظار دارند حفظ بکنی و همون جزوه فاقد ارزش علمی که مثلاً توسط ایشون گردآوری شده رو بیای و کپی پیست سر امتحان بنویسی. روخوانی جزوه بسیار خشک و ملال‌آور روش تدریس شونه.,1.0,1.0,1.0,2.0,3.0,4.0
1231,2022-09-13T00:46:26,شابختی,مهندسی عمران,مکانیک سیالات,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"یه میانترم و یه پایانترم 
اخرش شیفت میدن ولی واسه همه یکسان نیست 
ممکنه ۱ نمره 
ممکنه ۲ یا ۳ نمره 
و حتی ۰.۵ نمره
تی ای دارن
چند سری زیاد تمرین دارن 
امتحان هم تقریبا از مطالب جزوات",9.0,7.0,5.0,5.0,5.0,8.0
1232,2022-09-13T01:01:53,مگردیچ تومانیان,ریاضی,ریاضی مهندسی,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,مهر 1401,استاد بسیار خوبی هستند در تدریس و به میزان تلاش دانشجو نمره میدن,7.0,10.0,10.0,3.0,10.0,10.0
1233,2022-09-13T11:14:14,صابر ماهانی,مهندسی عمران,مکانیک خاک,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"امتحان فقط پایانترمه 
از مطالب جزوست اما چند لول بالاتر 
آخرش نمره بهتری نسبت به چیزی که فک میکنید میگیرید
در طول کلاس هم پرسش دارن خیلی زیاد 
ولی خیلی خوبه و اذیت نمیکنه 
پیشنهاد میشه بردارید",10.0,10.0,10.0,9.0,8.0,10.0
1234,2022-09-13T11:44:18,مگردویچ تومانیان,ریاضی,ریاضی مهندسی,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,مهر 98,استاد بسیار خوب، جنتلمن و باشخصیتی هستند، کیفیت تدریسشون بسیار بالاست اما تمرین بسار زیاد می‌دن، یک چیزی در حد ۹ سری ۲۰ تایی و تمامشون رو تصحیح می‌کنن و نمره می‌دن. و در نهایت با نمره‌ی میانترم و پایان‌ترم میانگین می‌گیرند.,10.0,10.0,10.0,9.0,10.0,10.0
1235,2022-09-13T12:20:46,سلیمی,معارف,تاریخ تحلیلی,دست باز و با ارفاق,یادم نمیاد,بهمن 1400,خیلی استاد خوب و خوش برخوردی هستند و میشه ازشون نمره خوبی گرفت,10.0,10.0,10.0,10.0,10.0,10.0
1236,2022-09-13T13:19:16,مهرداد آشتیانی,مهندسی کامپیوتر,برنامه نویسی کامپیوتر,دست باز و با ارفاق,حضور مهم است و تاثیر مستقیم دارد,بهمن 1401,"خود استاد خیلی متشخص و دست و دلبازن تو نمره و جواب دادن ب سوالا و رفتار خوبیم با دانشجوها دارن یعنی درواقع خودشون معرکه‌ن اما تی ای هاشون🙄 
حدود ۲۰ ۳۰ تا تی ای برای کارگاه این درس وجود داره که خیلییی جوگیرن و واقعا حتی سخت گیرتر از خود استادن درحالی ک تدریس تی ایا برای حل تمرینا اصن مفید نیست در نهایتم نمره جالبی از تی ای ها نمیشه گرفت
نمره این ترم کلا از ۲۳ بود و خود استاد خیلی ارفاق کردن اما فکرکنم حدود ۷ نمره دست خودش بود بقیش دست تی ایا که تمرینا و پروژه رو چک میکنن 
و اینم بگم زبانی که تدریس میکنن سی پلاس پلاسه و به هرحال سختی های خودشم داره",9.0,10.0,10.0,10.0,10.0,10.0
1237,2022-09-13T14:13:20,زهره مستقیم,ریاضی,معادلات دیفرانسیل,نمره خوبی نمیشه ازشون گرفت,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1401,"اسمشو دیدین فرار کنین اصلاااا خوب نیست نه نحوه تدریسش نه نمره دادنش 
این ترم ۱۲ نمره پایانترم ۲ نمره تکالیف ۶ نمره میانترم گذاشته بود درسته که دوباره از کسایی ک میخواستن، میانترمو حضوری گرفت (بار اول مجازی بود) ولی بازم همچنان نمره رو بهشون نداد
تدریسشم ک صرفا روخونی از جزوه ایه ک خودش میذاره تو ال ام اس
خلاصه اینکه اصلا خوب نیست اعتراضم میزنه بررسی شد بعد دوثانیه تایید میکنه نمره تونو :)",1.0,1.0,1.0,1.0,4.0,6.0
1238,2022-09-13T14:13:26,احمدرضا فروغ,ریاضی,ریاضی ۱,نمره خوبی نمیشه ازشون گرفت,حضور و غیاب نمی کند,بهمن 1400,"استاد از فصل سوم شروع به تدریس کردن اصلا پیش زمینه ای راجب درس ارائه ندادند همچنین براشون مهم نبود چند نفر سر کلاس میان یا چند نفر درس رو متوجه‌میشوند . سر کلاس گاهی یک سوال میدادند به عنوان تکلیف در کل تکلیف محسوب نمیشد . هیچ ارفاق یا شیفتی ام ندادند 
در کل بین نداشتن واحد و فروغ نداشتن رو انتخاب کنید معدلتون رو خراب میکنه",1.0,2.0,2.0,1.0,1.0,3.0
1239,2022-09-13T14:13:33,الهام فتاحی,ریاضی,ریاضی عمومی ۲,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1401,"شاید ترم های قبل خوب نبوده باشن و تعریفی ازشون نشنیده باشین اما این ترم واقعا عالی بودن
تدریس شون فوق العاده بود و خیلی باحوصله دوباره واستون توضیح میدن فقط تمریناشون زیاده ک اونم ب هرحال باید روش وقت گذاشته بشه و تصحیحم میشه اما خیلی روی درست و غلط بودنش فوکوس نمیکنن فقط مهم اینه ک بنویسین یه چیزی
در آخرم یه نمره شیفت دادن و خیلی خوب بودن این ترم",10.0,10.0,10.0,8.0,10.0,10.0
1240,2022-09-13T14:14:08,شکوهیان راد,برق,آزمایشگاه مبانی برق,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1401,"هر هفته به هر گروه یک آزمایش رو اختصاص میدن. هر فرد قبل جلسه با دیدن فیلم‌ها و باید با دیدن فیلم و دستورکار خلاصه ای از فرمول‌ها و شکل‌هارو در حد یه صفحه به عنوان پیش گزارش بنویسه. گزارش نوشتن هم فردیه و یه هفته فرصت داره. دو سه بار کوییز گرفتن که یه سوال تستی از شکلای جزوه بود.
امتحان پایانترم کتبی تستی بود که تکراری از سالای قبل زیاد داشت.عملی هم باید فرمول و شکل هارو حفظ باشید و آزمایش رو از حفظ انجام بدید",9.0,10.0,9.0,10.0,10.0,8.0
1241,2022-09-13T14:20:44,امین بازیاری,مهندسی شیمی,موازنه مواد و انرژی,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 1401,"تدریس شون واقعا عالیه و دوباره‌م بخواین قشنگ توضیح میدن اما تو نمره یکم خسیسن و شیفت اینا خبری نیست
۵ نمره دست تی ای برای تکالیف اینا که اینش خوب بود ۶ نمره میانترم ۹ نمرم پایانترم و چیزیم اضافه نمیکنن در نهایت
اما اگه با کلاس پیش برین از شر این درس ۴ واحدی میتونین خلاص شین راحت",9.0,10.0,10.0,8.0,10.0,10.0
1242,2022-09-13T14:27:09,فصیحی,مهندسی شیمی,استاتیک و مقاومت مصالح,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,بهمن 1401,"تدریس شون تعریفی نداره و فقط مباحث اولیه که مربوط ب دبیرستانه رو متوجه میشین و بقیه رو باید برین از کتاب مرجعی که معرفی میکنن کامل بخونین
و با همون خنده های سرکلاس راحت و بی انصاف طور نمره تون رو میده :)
ولی بازم اگه خیلی فعالیت داشته باشین تو کلاس و اون سوال امتیازیاشونو سریع حل کنید برگه رو تا یه جای درست سیاه کنید میتونید نمره خوبی بگیرین",7.0,6.0,3.0,5.0,4.0,7.0
1243,2022-09-13T15:03:49,سید نظام الدین اشرفی زاده,مهندسی شیمی,پدیده های سطحی,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 97,استاد خیلی بااطلاعات و باتجربه ای هستند. نگاه صنعتی خوبی دارند. البته در کلاس درس از حدود دو ساعت کلاس، یک ساعت و نیم تقریباً مباحث متفرقه صحبت میشه که البته نکات مثبتی در اونها هست، ولی واقعاً اندک مطالب درسی هم که یاد میدهند واقعاً مفید و کاربردی هستند. من ازشون ۱۹/۵ گرفتم و این درس برام بسیار مفید و جذاب بود. کمی حوصله کنین سرکلاس و فعال باشین سرکلاس میتونین نمره عالی بگیرین. درباره منابع درسی هم بگم علاوه بر پاورپوینت ها، یه کتاب خودشونم هست که البته من نخوندم به نظرم زیاد مفید نبود خودم از رفرنسهای انگلیسی خوندم درسو,5.0,9.0,8.0,6.0,10.0,10.0
1244,2022-09-19T20:22:38,محمد علی آبادی,معماری و شهرسازی,طراحی معماری,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"این استاد از تحقیر و کوچک کردن دانشجویان لذت میبرد
به شدت به حجاب خانم ها و پوشش آنها تذکر میدهد و در نمره تاثیر میدهد بی حجابی را
کلاس برنامه زمانی ندارد و هفته ی اخر تمام بار کلاس را به دوش میکشد
منبع طراحی و تدریس استاد هم ساختمان های طراحی نشده است",1.0,1.0,1.0,1.0,1.0,1.0
1245,2022-09-22T06:15:56,سجاد موذن,معماری و شهرسازی,ساخت و ارائه,منصفانه و هرچی خودت بگیری,حضور مهم است و تاثیر مستقیم دارد,بهمن 1400,"استاد سخت گیر ولی به فکری هستند
دنبال اذیت کردن دانشجو نیستند و اگر فشاری وارد میکنند برای پیشرفت دانشجویان هست
ببینن تلاش میکنی حتی اگه کیفیت کارها خیلی خوب نباشه نمره نسبتا خوبی میدن",9.0,10.0,5.0,10.0,10.0,9.0
